fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2018_12_11_15_36_12.rep,GRADE MANIA,9992,0.6365092,4425,28,106,None,None,2018-12-11T15-36-12
2018_12_11_15_40_01.rep,GRADE MANIA,13338,0.64777327,8634,44,144,None,None,2018-12-11T15-40-01
2018_12_11_15_46_03.rep,GRADE MANIA,19581,0.6679945,11979,72,218,None,None,2018-12-11T15-46-03
2018_12_11_15_50_31.rep,GRADE MANIA,15561,0.65548486,8611,54,170,None,None,2018-12-11T15-50-31
2018_12_11_15_53_12.rep,GRADE MANIA,9010,0.6526082,3939,24,98,None,None,2018-12-11T15-53-12
2018_12_11_15_59_02.rep,GRADE MANIA,20671,0.682115,16046,79,235,None,None,2018-12-11T15-59-02
2018_12_12_17_47_20.rep,LINE RACE,5397,1.1341735,0,40,103,False,40,2018-12-12T17-47-20
2018_12_12_17_49_18.rep,LINE RACE,6000,1.2202034,0,40,123,False,40,2018-12-12T17-49-18
2018_12_12_21_14_52.rep,DIG RACE,3976,0.8603774,0,30,58,None,None,2018-12-12T21-14-52
2018_12_12_21_17_43.rep,DIG RACE,2469,1.069692,0,25,45,None,None,2018-12-12T21-17-43
2018_12_12_21_41_08.rep,DIG RACE,3433,0.8916084,0,27,52,None,None,2018-12-12T21-41-08
2018_12_12_21_45_59.rep,DIG RACE,1197,1.0033445,0,16,21,None,None,2018-12-12T21-45-59
2018_12_12_21_47_52.rep,DIG RACE,2983,1.0462776,0,29,53,None,None,2018-12-12T21-47-52
2018_12_12_21_48_44.rep,DIG RACE,2636,1.1840607,0,25,53,None,None,2018-12-12T21-48-44
2018_12_12_21_57_09.rep,DIG RACE,3320,0.97619766,0,30,55,None,None,2018-12-12T21-57-09
2018_12_12_21_58_04.rep,DIG RACE,1399,1.0729613,0,18,26,None,None,2018-12-12T21-58-04
2018_12_12_21_59_37.rep,DIG RACE,2002,1.0194902,0,22,35,None,None,2018-12-12T21-59-37
2018_12_12_22_45_42.rep,GRADE MANIA,9796,0.7288689,6122,34,119,None,None,2018-12-12T22-45-42
2018_12_12_22_47_23.rep,GRADE MANIA,5767,0.6658575,1053,12,64,None,None,2018-12-12T22-47-23
2018_12_12_22_52_50.rep,GRADE MANIA,19244,0.6952816,12371,76,223,None,None,2018-12-12T22-52-50
2018_12_13_18_46_44.rep,GRADE MANIA,13534,0.7181912,8740,49,162,None,None,2018-12-13T18-46-44
2018_12_14_17_22_29.rep,MARATHON,22686,0.9151018,193760,128,346,False,150,2018-12-14T17-22-29
2018_12_14_21_43_16.rep,MARATHON,21190,0.86644644,304518,112,306,False,150,2018-12-14T21-43-16
2018_12_14_21_54_10.rep,MARATHON,29047,0.803553,353266,150,390,False,150,2018-12-14T21-54-10
2018_12_14_22_31_05.rep,MARATHON,26553,0.85417295,369760,150,379,False,150,2018-12-14T22-31-05
2018_12_14_23_00_49.rep,MARATHON,10309,0.9370453,129752,49,161,False,150,2018-12-14T23-00-49
2018_12_14_23_18_45.rep,DIG RACE,4380,0.43835616,0,13,32,None,None,2018-12-14T23-18-45
2018_12_15_16_11_34.rep,MARATHON,25882,0.89022833,486794,150,385,False,150,2018-12-15T16-11-34
2018_12_15_16_17_48.rep,LINE RACE,5797,1.0766046,0,41,105,True,40,2018-12-15T16-17-48
2018_12_15_16_25_12.rep,DIG RACE,2134,1.1251758,0,24,41,None,None,2018-12-15T16-25-12
2018_12_15_16_26_40.rep,DIG RACE,2693,1.1589895,0,28,53,None,None,2018-12-15T16-26-40
2018_12_15_16_30_57.rep,DIG RACE,2093,1.0898662,0,22,39,None,None,2018-12-15T16-30-57
2018_12_15_16_37_52.rep,DIG RACE,2657,0.9487952,0,25,43,None,None,2018-12-15T16-37-52
2018_12_15_16_40_06.rep,DIG RACE,3997,1.1711712,0,39,79,None,None,2018-12-15T16-40-06
2018_12_15_16_45_35.rep,GRADE MANIA,9781,0.6931807,5575,31,113,None,None,2018-12-15T16-45-35
2018_12_15_16_49_31.rep,GRADE MANIA,10386,0.6701329,3202,31,116,None,None,2018-12-15T16-49-31
2018_12_15_16_56_35.rep,GRADE MANIA,17202,0.68364143,10820,65,196,None,None,2018-12-15T16-56-35
2018_12_15_17_02_41.rep,GRADE MANIA,17116,0.6905819,11439,65,197,None,None,2018-12-15T17-02-41
2018_12_16_14_18_15.rep,LINE RACE,5645,1.2119064,0,40,115,False,40,2018-12-16T14-18-15
2018_12_16_17_19_18.rep,MARATHON,25866,0.8815001,393750,150,381,False,150,2018-12-16T17-19-18
2018_12_16_17_29_09.rep,MARATHON,28149,0.8227938,397558,151,387,True,150,2018-12-16T17-29-09
2018_12_16_17_48_52.rep,MARATHON,27766,0.8665586,373500,150,402,False,150,2018-12-16T17-48-52
2018_12_16_17_56_47.rep,MARATHON,25592,0.8839045,391502,150,378,False,150,2018-12-16T17-56-47
2018_12_16_18_40_13.rep,MARATHON,24227,0.97333443,454552,153,394,True,150,2018-12-16T18-40-13
2018_12_16_18_44_48.rep,GRADE MANIA,10838,0.6754014,6525,36,122,None,None,2018-12-16T18-44-48
2018_12_16_18_47_43.rep,GRADE MANIA,10161,0.7322114,7174,36,124,None,None,2018-12-16T18-47-43
2018_12_16_18_51_32.rep,GRADE MANIA,12956,0.6992899,8489,47,151,None,None,2018-12-16T18-51-32
2018_12_16_18_57_21.rep,GRADE MANIA,20446,0.75418174,14862,89,257,None,None,2018-12-16T18-57-21
2018_12_18_20_05_45.rep,MARATHON,25438,0.9034084,438016,151,384,True,150,2018-12-18T20-05-45
2018_12_18_20_21_16.rep,MARATHON,25565,0.91300267,410290,151,390,True,150,2018-12-18T20-21-16
2018_12_18_20_29_34.rep,MARATHON,27303,0.8592777,448514,152,392,True,150,2018-12-18T20-29-34
2018_12_18_22_15_10.rep,LINE RACE,5003,1.247501,0,40,105,False,40,2018-12-18T22-15-10
2018_12_18_22_16_37.rep,LINE RACE,4765,1.3350126,0,40,107,False,40,2018-12-18T22-16-37
2018_12_18_22_19_17.rep,LINE RACE,6593,1.0558252,0,40,117,False,40,2018-12-18T22-19-17
2018_12_18_22_22_57.rep,LINE RACE,4859,1.2844793,0,40,105,False,40,2018-12-18T22-22-57
2018_12_18_22_26_00.rep,LINE RACE,4804,1.3616489,0,42,110,True,40,2018-12-18T22-26-00
2018_12_18_22_27_31.rep,LINE RACE,4662,1.4160051,0,40,111,False,40,2018-12-18T22-27-31
2018_12_18_22_28_59.rep,LINE RACE,4558,1.3298223,0,40,102,False,40,2018-12-18T22-28-59
2018_12_18_22_31_40.rep,LINE RACE,4379,1.3978986,0,40,103,False,40,2018-12-18T22-31-40
2018_12_18_22_37_29.rep,LINE RACE,4432,1.40826,0,41,105,True,40,2018-12-18T22-37-29
2018_12_19_15_36_35.rep,LINE RACE,5373,1.2844378,0,41,116,True,40,2018-12-19T15-36-35
2018_12_19_15_39_10.rep,LINE RACE,4292,1.4262409,0,41,103,True,40,2018-12-19T15-39-10
2018_12_19_15_44_39.rep,LINE RACE,4555,1.370224,0,41,105,True,40,2018-12-19T15-44-39
2018_12_19_15_53_23.rep,LINE RACE,5224,1.1947157,0,40,105,False,40,2018-12-19T15-53-23
2018_12_19_15_54_57.rep,LINE RACE,5076,1.3123152,0,41,112,True,40,2018-12-19T15-54-57
2018_12_19_15_58_47.rep,LINE RACE,4515,1.3424901,0,40,102,False,40,2018-12-19T15-58-47
2018_12_19_16_00_34.rep,LINE RACE,5235,1.30684,0,43,115,True,40,2018-12-19T16-00-34
2018_12_19_16_03_45.rep,LINE RACE,4450,1.3890762,0,40,104,False,40,2018-12-19T16-03-45
2018_12_19_16_06_49.rep,LINE RACE,5114,1.3025621,0,41,112,True,40,2018-12-19T16-06-49
2018_12_19_16_08_33.rep,LINE RACE,5244,1.2359337,0,41,109,True,40,2018-12-19T16-08-33
